star, chain
120.714733, 119.6481242, 121.7813418
109.04945749999999, 108.7908811, 109.3080339
110.154448, 109.8671976, 110.44169839999999
108.97376249999999, 108.02399489999999, 109.92353010000001
108.9405385, 108.31437489999999, 109.5667021
109.2551835, 107.8066639, 110.7037031
106.19215600000001, 105.97817760000001, 106.40613440000001
108.32318000000001, 107.5750056, 109.0713544
107.929735, 107.51071499999999, 108.348755
106.853716, 106.11287920000001, 107.5945528
108.960646, 106.97663800000001, 110.944654
107.31966800000001, 106.98006240000001, 107.6592736
108.965232, 107.2555472, 110.6749168
107.3946155, 107.2503407, 107.5388903
108.823896, 107.2653224, 110.38246960000001
109.2836755, 108.63579349999999, 109.93155750000001
107.320403, 106.8938934, 107.7469126
106.700441, 106.53031779999999, 106.8705642
106.4134375, 106.0166491, 106.8102259
106.1191685, 106.1082553, 106.1300817
106.6304945, 106.59154529999999, 106.6694437
107.1077905, 106.4986093, 107.7169717
106.4546385, 105.75911330000001, 107.1501637
107.169223, 106.8935398, 107.4449062
107.10880700000001, 106.93336380000001, 107.2842502
106.52148700000001, 106.28069260000001, 106.7622814
106.78050400000001, 106.3807216, 107.1802864
109.83194549999999, 107.7334075, 111.9304835
111.4388465, 110.2536485, 112.6240445
110.4219225, 107.6740205, 113.1698245
111.166143, 108.8989998, 113.4332862
109.91799499999999, 107.108783, 112.72720699999999
110.501485, 107.7908122, 113.2121578
110.364932, 107.9439256, 112.78593839999999
110.2315355, 108.20413110000001, 112.2589399
110.136132, 108.1157456, 112.1565184
113.313356, 112.83917679999999, 113.78753520000001
112.156082, 111.681518, 112.630646
112.681793, 112.5894306, 112.7741554
113.2022105, 112.6431341, 113.7612869
113.450759, 112.74739020000001, 114.1541278
113.306375, 113.0478582, 113.5648918
112.789143, 112.3753462, 113.2029398
113.170265, 113.1273778, 113.2131522
113.165693, 113.1475002, 113.1838858
112.508742, 112.21941079999999, 112.7980732
113.450275, 112.9892766, 113.9112734
113.9721245, 113.88089210000001, 114.0633569
113.27316300000001, 113.16998140000001, 113.37634460000001
113.999135, 113.4225022, 114.57576780000001
113.911645, 113.333485, 114.489805
113.8525135, 113.3297659, 114.3752611
115.1627435, 113.8092423, 116.5162447
114.55872400000001, 113.712788, 115.40466
115.0256345, 113.8512813, 116.19998770000001
114.966396, 113.3983, 116.534492
114.2820365, 112.7019025, 115.8621705
114.53118950000001, 113.02591790000001, 116.0364611
114.7109885, 113.6517945, 115.7701825
115.042179, 114.24856460000001, 115.8357934
115.031026, 113.81912439999999, 116.2429276
114.295422, 112.90993639999999, 115.6809076
114.492809, 113.119833, 115.865785
114.729987, 113.73658379999999, 115.7233902
114.5671275, 113.6707031, 115.4635519
115.01263349999999, 113.9844667, 116.0408003
113.8736725, 112.7346105, 115.0127345
114.2350065, 113.1760885, 115.2939245
114.48817199999999, 114.0980032, 114.8783408
114.216792, 113.3696696, 115.0639144
114.11409750000001, 112.74318830000001, 115.48500670000001
114.54593349999999, 113.2781811, 115.8136859
113.8162195, 112.6481631, 114.9842759
114.25858149999999, 113.8631683, 114.6539947
114.8189495, 113.72708990000001, 115.9108091
114.3478275, 113.2394751, 115.4561799
114.2292065, 112.98183970000001, 115.4765733
113.973595, 113.583335, 114.363855
113.359516, 112.769864, 113.949168
113.5730135, 113.1641443, 113.9818827
112.55836400000001, 112.04570000000001, 113.07102800000001
113.5508865, 112.5984421, 114.50333090000001
113.2173995, 113.1344239, 113.3003751
113.5332855, 112.8380603, 114.2285107
113.10506749999999, 112.7186991, 113.4914359
113.266495, 113.21042940000001, 113.3225606
113.699016, 113.5907856, 113.8072464
113.2988965, 112.70307609999999, 113.8947169
114.0631425, 113.27781329999999, 114.8484717
113.6034675, 112.7504559, 114.4564791
113.05198899999999, 113.0076418, 113.0963362
113.1576085, 112.9353737, 113.37984329999999
112.8498855, 112.8314331, 112.8683379
113.515922, 113.35916200000001, 113.672682
113.98693850000001, 113.84927330000001, 114.1246037
114.142314, 113.9831892, 114.30143880000001
112.99121149999999, 112.4137447, 113.5686783
113.20777799999999, 112.92130759999999, 113.4942484
112.9629025, 112.22644369999999, 113.6993613
114.3676365, 113.6237409, 115.1115321
